order_id,user_id,status,gender,created_at,shipped_at,delivered_at,returned_at,num_of_item
O100006,U80058,Shipped,F,2022-01-18,2022-01-21,,,1
O100012,U80065,Shipped,F,2022-08-16,2022-08-16,,,1
O100020,U80069,Shipped,F,2023-06-28,2023-06-30,,,1
O100036,U80083,Returned,F,2022-10-25,2022-10-26,2022-10-27,2022-10-27,3
O100038,U80085,Shipped,F,2022-07-30,2022-07-31,,,1
O100040,U80087,Processing,F,2022-11-03,,,,2
O100073,U80109,Cancelled,F,2023-03-25,,,,2
O100103,U80131,Processing,F,2023-03-25,,,,2
O100154,U80167,Complete,F,2020-09-30,2020-10-02,2020-10-05,,3
O100198,U80206,Returned,F,2021-11-14,2021-11-12,2021-11-15,2021-11-15,4
O100225,U80224,Cancelled,F,2021-08-04,,,,3
O100229,U80228,Complete,F,2022-09-25,2022-09-27,2022-09-27,,1
O100239,U80240,Cancelled,F,2021-03-05,,,,1
O100285,U80282,Cancelled,F,2021-09-16,,,,1
O100297,U80289,Cancelled,F,2022-05-16,,,,1
O100299,U80290,Complete,F,2022-04-10,2022-04-11,2022-04-12,,1
O10030,U8072,Processing,F,2023-05-10,,,,1
O100314,U80299,Complete,F,2021-04-01,2021-04-01,2021-04-01,,1
O10033,U8073,Complete,F,2021-07-22,2021-07-21,2021-07-25,,3
O100346,U80326,Shipped,F,2022-08-15,2022-08-16,,,1
O100355,U80333,Processing,F,2022-08-08,,,,1
O100365,U80341,Complete,F,2022-03-24,2022-03-22,2022-03-23,,4
O100366,U80341,Returned,F,2021-10-10,2021-10-12,2021-10-13,2021-10-13,1
O100369,U80342,Complete,F,2022-12-01,2022-12-01,2022-12-01,,1
O100375,U80347,Shipped,F,2022-06-16,2022-06-17,,,1
O100384,U80353,Cancelled,F,2022-07-05,,,,1
O100390,U80357,Shipped,F,2022-04-24,2022-04-24,,,2
O1004,U799,Cancelled,F,2023-04-21,,,,1
O100403,U80369,Processing,F,2023-02-21,,,,2
O100412,U80379,Cancelled,F,2022-11-27,,,,2
O100414,U80379,Complete,F,2021-12-01,2021-12-03,2021-12-03,,1
O100425,U80390,Complete,F,2021-09-16,2021-09-18,2021-09-23,,1
O100448,U80409,Returned,F,2023-06-17,2023-06-16,2023-06-17,2023-06-17,4
O100458,U80416,Shipped,F,2023-02-17,2023-02-16,,,2
O100459,U80416,Complete,F,2023-01-10,2023-01-11,2023-01-15,,1
O100466,U80419,Shipped,F,2021-05-11,2021-05-10,,,4
O100473,U80422,Cancelled,F,2023-06-14,,,,4
O10049,U8087,Cancelled,F,2023-02-08,,,,3
O100511,U80454,Cancelled,F,2020-10-07,,,,1
O100512,U80454,Cancelled,F,2022-01-02,,,,4
O100513,U80454,Returned,F,2020-07-06,2020-07-06,2020-07-07,2020-07-07,1
O10052,U8091,Processing,F,2023-07-01,,,,4
O100538,U80484,Complete,F,2021-01-18,2021-01-18,2021-01-18,,2
O100557,U80496,Cancelled,F,2023-03-25,,,,1
O100597,U80527,Complete,F,2022-12-14,2022-12-17,2022-12-20,,1
O100607,U80535,Shipped,F,2022-05-31,2022-05-30,,,2
O100619,U80543,Shipped,F,2021-09-23,2021-09-20,,,2
O100657,U80578,Shipped,F,2020-11-23,2020-11-24,,,1
O100685,U80599,Complete,F,2022-05-20,2022-05-21,2022-05-25,,2
O100714,U80630,Complete,F,2023-05-04,2023-05-01,2023-05-04,,2
O100765,U80667,Processing,F,2022-04-26,,,,3
O10077,U8111,Shipped,F,2021-12-26,2021-12-29,,,1
O100773,U80674,Processing,F,2022-05-03,,,,1
O100790,U80687,Shipped,F,2021-01-22,2021-01-25,,,2
O100797,U80695,Shipped,F,2023-05-28,2023-05-29,,,4
O100814,U80707,Shipped,F,2021-02-13,2021-02-13,,,1
O100830,U80717,Cancelled,F,2021-10-29,,,,1
O100837,U80727,Cancelled,F,2023-04-24,,,,3
O100838,U80727,Cancelled,F,2022-09-19,,,,4
O100839,U80730,Returned,F,2023-02-18,2023-02-17,2023-02-21,2023-02-21,2
O100850,U80744,Shipped,F,2020-01-09,2020-01-11,,,1
O100857,U80749,Complete,F,2021-07-01,2021-07-02,2021-07-06,,1
O100861,U80752,Cancelled,F,2022-03-17,,,,1
O100871,U80762,Shipped,F,2023-05-29,2023-05-27,,,2
O100914,U80793,Shipped,F,2019-12-02,2019-12-02,,,2
O100949,U80826,Shipped,F,2023-06-13,2023-06-11,,,2
O100950,U80827,Complete,F,2023-05-18,2023-05-15,2023-05-17,,2
O100953,U80829,Shipped,F,2023-02-26,2023-02-28,,,2
O100954,U80829,Processing,F,2023-05-06,,,,1
O100957,U80834,Shipped,F,2023-04-12,2023-04-15,,,1
O100975,U80842,Shipped,F,2023-01-05,2023-01-04,,,2
O100979,U80845,Complete,F,2023-05-03,2023-05-06,2023-05-08,,1
O100991,U80854,Returned,F,2022-06-02,2022-06-01,2022-06-02,2022-06-02,2
O101001,U80862,Processing,F,2022-08-04,,,,1
O101010,U80868,Shipped,F,2023-03-03,2023-03-05,,,1
O101022,U80874,Complete,F,2023-02-14,2023-02-15,2023-02-19,,1
O101033,U80882,Cancelled,F,2023-02-02,,,,4
O101055,U80899,Complete,F,2022-05-08,2022-05-10,2022-05-14,,1
O101068,U80908,Shipped,F,2020-03-06,2020-03-08,,,1
O101112,U80942,Shipped,F,2023-03-28,2023-03-30,,,4
O101157,U80982,Complete,F,2023-03-03,2023-03-05,2023-03-05,,1
O101165,U80988,Shipped,F,2022-01-06,2022-01-08,,,1
O101181,U81002,Cancelled,F,2022-10-18,,,,1
O101182,U81003,Processing,F,2022-10-07,,,,1
O101193,U81013,Cancelled,F,2023-06-27,,,,1
O10121,U8145,Complete,F,2023-05-27,2023-05-25,2023-05-26,,2
O101227,U81042,Complete,F,2022-06-29,2022-06-29,2022-06-30,,1
O101230,U81043,Returned,F,2023-03-24,2023-03-21,2023-03-23,2023-03-23,2
O101248,U81062,Cancelled,F,2023-06-30,,,,2
O101249,U81062,Processing,F,2023-06-28,,,,1
O101255,U81068,Shipped,F,2021-11-27,2021-11-29,,,1
O101288,U81092,Complete,F,2023-05-14,2023-05-17,2023-05-17,,2
O101291,U81096,Complete,F,2023-06-24,2023-06-24,2023-06-25,,4
O101296,U81100,Shipped,F,2023-01-30,2023-01-28,,,4
O101300,U81102,Processing,F,2022-04-14,,,,1
O101315,U81111,Processing,F,2021-11-29,,,,2
O101320,U81117,Complete,F,2023-06-12,2023-06-09,2023-06-13,,3
O101334,U81129,Returned,F,2022-06-06,2022-06-09,2022-06-11,2022-06-11,1
O101339,U81134,Cancelled,F,2023-03-15,,,,2
O10134,U8150,Shipped,F,2023-02-19,2023-02-19,,,3
O101347,U81141,Shipped,F,2021-11-19,2021-11-20,,,1
O101359,U81152,Complete,F,2023-05-17,2023-05-18,2023-05-21,,1
O10142,U8157,Returned,F,2023-06-30,2023-06-30,2023-07-04,2023-07-04,2
O101458,U81227,Shipped,F,2023-01-05,2023-01-07,,,1
O101461,U81229,Complete,F,2023-03-29,2023-03-29,2023-04-01,,2
O101489,U81246,Complete,F,2023-04-15,2023-04-17,2023-04-21,,1
O101498,U81256,Processing,F,2022-06-10,,,,2
O101502,U81257,Processing,F,2023-05-02,,,,1
O101547,U81300,Complete,F,2022-09-12,2022-09-14,2022-09-16,,4
O101585,U81334,Shipped,F,2020-06-18,2020-06-19,,,3
O101595,U81339,Processing,F,2020-12-18,,,,1
O101655,U81386,Processing,F,2019-10-05,,,,1
O101678,U81403,Processing,F,2021-09-20,,,,4
O101679,U81403,Shipped,F,2022-09-13,2022-09-16,,,1
O101686,U81408,Complete,F,2022-02-01,2022-02-01,2022-02-04,,4
O101710,U81428,Processing,F,2022-03-11,,,,1
O101712,U81429,Processing,F,2021-08-13,,,,1
O101785,U81486,Processing,F,2023-05-12,,,,1
O101802,U81499,Cancelled,F,2022-03-03,,,,1
O101817,U81514,Processing,F,2022-12-05,,,,1
O10182,U8182,Complete,F,2022-07-18,2022-07-18,2022-07-20,,3
O101829,U81526,Complete,F,2023-02-04,2023-02-05,2023-02-08,,1
O101835,U81532,Shipped,F,2020-09-01,2020-09-01,,,1
O101860,U81547,Processing,F,2021-09-17,,,,2
O101866,U81553,Complete,F,2022-02-22,2022-02-22,2022-02-23,,2
O101889,U81571,Cancelled,F,2022-07-23,,,,1
O101919,U81604,Processing,F,2021-11-07,,,,2
O101971,U81640,Processing,F,2022-05-18,,,,2
O101983,U81650,Complete,F,2022-06-25,2022-06-25,2022-06-28,,2
O101988,U81654,Complete,F,2022-12-11,2022-12-11,2022-12-14,,1
O102035,U81688,Shipped,F,2023-03-27,2023-03-28,,,1
O102070,U81711,Cancelled,F,2023-05-03,,,,2
O102104,U81740,Complete,F,2022-05-05,2022-05-02,2022-05-06,,4
O102106,U81742,Shipped,F,2022-05-16,2022-05-14,,,2
O102113,U81746,Cancelled,F,2022-09-19,,,,1
O102179,U81805,Shipped,F,2019-07-11,2019-07-13,,,1
O102184,U81807,Shipped,F,2021-06-22,2021-06-23,,,1
O102196,U81814,Returned,F,2023-05-25,2023-05-25,2023-05-29,2023-05-29,2
O102207,U81820,Returned,F,2023-04-04,2023-04-06,2023-04-11,2023-04-11,1
O102215,U81829,Shipped,F,2021-09-18,2021-09-16,,,2
O102232,U81843,Returned,F,2021-12-17,2021-12-19,2021-12-22,2021-12-22,1
O10226,U8216,Complete,F,2022-11-04,2022-11-05,2022-11-08,,1
O102263,U81870,Shipped,F,2019-08-04,2019-08-03,,,3
O102270,U81881,Shipped,F,2022-10-26,2022-10-27,,,1
O102275,U81884,Shipped,F,2023-04-28,2023-04-29,,,1
O102298,U81899,Complete,F,2023-03-24,2023-03-24,2023-03-25,,2
O102305,U81903,Cancelled,F,2023-04-18,,,,2
O102307,U81905,Processing,F,2022-11-02,,,,1
O10233,U8224,Returned,F,2023-06-16,2023-06-18,2023-06-19,2023-06-19,1
O102356,U81946,Complete,F,2021-06-28,2021-07-01,2021-07-03,,1
O102357,U81947,Shipped,F,2022-10-08,2022-10-07,,,4
O10239,U8228,Processing,F,2020-11-20,,,,1
O102397,U81980,Shipped,F,2022-12-23,2022-12-25,,,1
O102407,U81985,Processing,F,2022-08-21,,,,2
O10242,U8228,Complete,F,2022-07-19,2022-07-21,2022-07-23,,2
O102474,U82051,Shipped,F,2023-06-29,2023-06-25,,,4
O102490,U82069,Shipped,F,2022-08-16,2022-08-15,,,2
O102496,U82074,Returned,F,2023-02-11,2023-02-13,2023-02-17,2023-02-17,1
O102505,U82085,Complete,F,2022-10-05,2022-10-03,2022-10-05,,4
O102517,U82097,Complete,F,2021-12-31,2022-01-01,2022-01-01,,1
O102522,U82100,Complete,F,2019-07-11,2019-07-12,2019-07-14,,1
O102543,U82116,Shipped,F,2021-07-23,2021-07-23,,,2
O102546,U82118,Shipped,F,2022-07-08,2022-07-11,,,1
O102550,U82122,Returned,F,2023-06-20,2023-06-20,2023-06-25,2023-06-25,1
O102551,U82123,Cancelled,F,2023-03-21,,,,4
O102585,U82151,Complete,F,2022-01-24,2022-01-25,2022-01-26,,1
O102605,U82167,Shipped,F,2023-02-04,2023-02-03,,,2
O10261,U8245,Complete,F,2022-10-02,2022-09-29,2022-10-03,,2
O102613,U82169,Shipped,F,2021-06-14,2021-06-16,,,1
O102659,U82205,Shipped,F,2023-04-05,2023-04-07,,,1
O102661,U82208,Complete,F,2022-12-14,2022-12-12,2022-12-14,,2
O102667,U82212,Shipped,F,2023-05-21,2023-05-24,,,1
O102682,U82224,Complete,F,2023-04-29,2023-05-01,2023-05-04,,3
O102736,U82264,Complete,F,2022-06-30,2022-07-01,2022-07-03,,1
O102758,U82279,Cancelled,F,2023-04-04,,,,1
O102793,U82303,Returned,F,2022-10-18,2022-10-19,2022-10-19,2022-10-19,1
O10282,U8258,Cancelled,F,2019-12-26,,,,1
O102846,U82347,Shipped,F,2022-10-31,2022-11-02,,,1
O102866,U82365,Cancelled,F,2022-09-17,,,,1
O102876,U82375,Cancelled,F,2021-05-08,,,,1
O102887,U82383,Shipped,F,2023-01-30,2023-02-01,,,1
O102891,U82386,Complete,F,2021-01-08,2021-01-07,2021-01-10,,4
O102926,U82410,Complete,F,2021-11-29,2021-12-01,2021-12-04,,1
O102928,U82412,Returned,F,2023-04-13,2023-04-12,2023-04-16,2023-04-16,2
O102932,U82414,Complete,F,2020-07-04,2020-07-01,2020-07-05,,2
O102934,U82415,Complete,F,2022-12-25,2022-12-26,2022-12-29,,1
O102956,U82427,Cancelled,F,2023-06-17,,,,2
O102993,U82454,Complete,F,2023-05-07,2023-05-09,2023-05-14,,1
O10302,U8275,Shipped,F,2022-02-12,2022-02-13,,,1
O103037,U82482,Processing,F,2022-09-12,,,,4
O103099,U82531,Shipped,F,2022-07-01,2022-07-01,,,4
O103103,U82532,Processing,F,2023-02-27,,,,1
O103125,U82550,Processing,F,2023-04-04,,,,2
O103135,U82554,Complete,F,2023-06-16,2023-06-15,2023-06-18,,2
