order_item_id,order_id,user_id,product_id,created_at,shipped_at,delivered_at,returned_at,sale_price
OI13793,O9492,U7649,P011,2022-06-22,2022-06-25,,,8.5
OI93625,O64584,U51698,P011,2021-11-06,2021-11-08,,,8.5
OI111549,O76948,U61600,P002,2023-02-27,2023-02-26,,,8.5
OI115525,O79675,U63681,P002,2022-02-27,2022-02-27,,,8.5
OI125455,O86550,U69272,P011,2022-02-12,2022-02-12,,,8.5
OI79454,O54706,U43753,P011,2023-05-02,2023-05-04,2023-05-06,,8.5
OI82492,O56815,U45468,P011,2023-03-24,2023-03-25,2023-03-28,,8.5
OI123308,O85053,U67974,P011,2023-04-11,2023-04-09,2023-04-12,,8.5
OI138130,O95254,U76259,P011,2023-02-08,2023-02-09,2023-02-11,,8.5
OI35329,O24310,U19364,P002,2023-06-11,,,,8.5
OI6721,O4587,U3657,P011,2022-12-18,,,,8.5
OI33135,O22793,U18161,P010,2021-12-04,,,,8.5
OI34026,O23387,U18636,P011,2023-03-31,,,,8.5
OI35184,O24209,U19285,P002,2022-08-03,,,,8.5
OI39302,O27042,U21510,P011,2023-06-27,,,,8.5
OI11774,O8103,U6509,P004,2022-11-09,2022-11-09,,,9.5
OI47686,O32818,U26115,P007,2021-06-28,2021-06-29,,,9.5
OI65787,O45293,U36175,P007,2023-06-27,2023-06-28,,,9.5
OI100363,O69189,U55407,P011,2023-03-29,2023-03-29,,,9.5
OI101853,O70232,U56251,P004,2021-12-08,2021-12-05,,,9.5
OI109720,O75694,U60581,P004,2023-05-18,2023-05-20,,,9.5
OI114576,O79017,U63161,P007,2022-06-19,2022-06-22,,,9.5
OI125961,O86888,U69553,P007,2022-09-09,2022-09-12,,,9.5
OI134214,O92604,U74149,P007,2023-03-17,2023-03-19,,,9.5
OI161728,O111461,U89185,P011,2020-11-16,2020-11-16,,,9.5
OI34095,O23436,U18672,P004,2022-07-15,2022-07-17,2022-07-21,,9.5
OI52779,O36248,U28857,P004,2022-04-15,2022-04-17,2022-04-22,,9.5
OI122412,O84446,U67477,P004,2022-11-15,2022-11-18,2022-11-19,,9.5
OI171563,O118158,U94505,P007,2020-03-07,2020-03-07,2020-03-10,,9.5
OI129898,O89638,U71738,P011,2022-12-19,2022-12-21,2022-12-22,2022-12-23,9.5
OI37753,O25966,U20640,P004,2022-02-26,,,,9.5
OI173158,O119257,U95391,P004,2020-06-05,,,,9.5
